FS_MAGNET,FS_region_name_short,FS_region_name,FS_region2,World,FS_region3,FS_hhregion,Notes,,,,,
CAN,NFT,NAFTA,ROW,WLD,,,,,,,,
USA,NFT,NAFTA,ROW,WLD,,,,,,,,
MEX,NFT,NAFTA,ROW,WLD,,,,,,,,
CAM,RLA,Rest Latin America,LAC,WLD,,,,,,,,
BRA,BRA,Brazil,LAC,WLD,,,,,,,,
RSM,RLA,Rest Latin America,LAC,WLD,,,,,,,,
NAF,NAF,North Africa,MENA,WLD,NAF,,,,,,,
GHA,WAF,Western Africa,SSA,WLD,WAF,GHA,,,,,,
WAF,WAF,Western Africa,SSA,WLD,WAF,,,,,,,
ETH,EAF,Eastern Africa,SSA,WLD,EAF,,,,,,,
KEN,EAF,Eastern Africa,SSA,WLD,EAF,KEN,,,,,,
UGA,EAF,Eastern Africa,SSA,WLD,EAF,UGA,,,,,,
EAF,EAF,Eastern Africa,SSA,WLD,EAF,,,,,,,
RSF,SAF,Southern Africa,SSA,WLD,SAF,,,,,,,
ZAF,SAF,Southern Africa,SSA,WLD,SAF,,,,,,,
EU16,EUR,European Union,EU,WLD,,,,,,,,
EU12,EUR,European Union,EU,WLD,,,,,,,,
RWE,RWE,Rest of Europe,ROW,WLD,,,Aggregation of RWE and REE reporting regions as RCE includes a mix of countries,,,,,
RCE,REE,Rest of Europe,ROW,WLD,,,,,,,,
TUR,TUR,Turkey,ROW,WLD,,,,,,,,
UKR,REE,Rest of Europe,ROW,WLD,,,Includes Belarus and Ukraine,,,,,
CAS,RUS,Russia and Stan countries,ROW,WLD,,,,,,,,
RUR,RUS,Russia and Stan countries,ROW,WLD,,,,,,,,
ME,MEA,Middle East,MENA,WLD,,,,,,,,
IND,IND,India,SASIA,WLD,,IND,,,,,,
RSA,RSA,Rest South Asia,SASIA,WLD,,,,,,,,
KOR,HIA,High Income Asia,ROW,WLD,,,,,,,,
CHN,CHN,China,EASIA,WLD,,CHN,,,,,,
CHR,HIA,High Income Asia,ROW,WLD,,,Includes Mongolia in an aggregated region (should be in RUS),,,,,
SEA,SEA,South East Asia,EASIA,WLD,,,,,,,,
IDN,SEA,South East Asia,EASIA,WLD,,IDN,,,,,,
JPN,HIA,High Income Asia,ROW,WLD,,,,,,,,
OCE,OCE,Oceania,ROW,WLD,,,,,,,,
